lambda,validation_accuracy,test_accuracy,sparsity_percent,checkpoint_path
0.0001,0.0833,0.1406,0.0,artifacts_graphs_smoke\checkpoints\best_lambda_0.0001.pt
0.001,0.0833,0.125,0.0,artifacts_graphs_smoke\checkpoints\best_lambda_0.0010.pt
